Place,Event,People ,Year of Param Krupalu Dev visiting,Compositions
Vavania,,,,
Morbi,,,,
Jamnagar,,,,
Surendranagar (Wadhwan Camp),,,,
Limbdi,,,,
Botad,,,,
Jetpar,,,,
Ahmedabad,,,,
Rajkot,,,,
Mumbai,,,,
Surat,,,,
Bharuch,,,,
Sayla,,,,
Khambhat,,,,
Ralaj,,,,
Vadodara,,,,
Hadamtala,,,,
Ranpur,,,,
Kavitha,,,,
Vadva,,,,
Anand,,,,
Nadiad,,,,
Idar,,,,
Vaso,,,,
Uttarsanda,,,,
Kheda,,,,
Naroda,,,,
Chennai,,,,
Dharampur,,,,
Tithal,,,,
